title	url	category	fileType	description	presentation	guideline
Promotional materials	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Promotional-Materials.zip	download	ZIP	Includes GE HealthCare promotional material templates such as flyers, postcards, posters, and trifold layouts for consistent, on-brand marketing communication.		
Editorial content	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Editorial-Content.zip	download	ZIP	Includes GE HealthCare editorial content templates such as bio cards and newsletters for structured, on-brand communication.		
Stationery	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Marketing-Templates_Stationery.zip	download	ZIP	Includes GE HealthCare stationery templates such as business cards, envelopes, letterhead, memo, and other materials for consistent, on-brand communication.		
African Affinity Forum	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_NGRGs_African-Affinity-Forum.zip	download	ZIP	Includes GE HealthCare African Affinity Forum assets such as banner templates, email banners, imagery, print-ready materials, and Teams backgrounds for consistent, on-brand event and communications support.		
Asian Pacific Allies and Friends	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_NGRGs_Asian-Pacific-Allies-and-Friends.zip	download	ZIP	Includes GE HealthCare Asian Pacific Allies and Friends assets such as banner templates, email banners, imagery, print-ready materials, and Teams backgrounds for consistent, on-brand event and communications support.		
Disability Advocacy Network	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_NGRGs_Disability-Advocacy-Network.zip	download	ZIP	Includes GE HealthCare Disability Advocacy Network assets such as banner templates, email banners, imagery, print-ready materials, and Teams backgrounds for consistent, on-brand event and communications support.		
Green Team Network	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_NGRGs_Green-Team-Network.zip	download	ZIP	Includes GE HealthCare Green Team Network assets such as banner templates, email banners, imagery, print-ready materials, and Teams backgrounds for consistent, on-brand event and communications support.		
Pride Alliance	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_NGRGs_Pride-Alliance.zip	download	ZIP	Includes GE HealthCare Pride Alliance assets such as banner templates, email banners, imagery, print-ready materials, and Teams backgrounds for consistent, on-brand event and communications support.		
STEAM Girls	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_NGRGs_STEAM-Girls.zip	download	ZIP	Includes GE HealthCare Unidos assets such as banner templates, email banners, imagery, print-ready materials, LinkedIn banners, and Teams backgrounds for consistent, on-brand event and communications support.		
Unidos	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_NGRGs_Unidos.zip	download	ZIP	Includes GE HealthCare Unidos assets such as banner templates, email banners, imagery, print-ready materials, LinkedIn banners, and Teams backgrounds for consistent, on-brand event and communications support.		
Veterans Network	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_NGRGs_Veterans-Network.zip	download	ZIP	Includes GE HealthCare Veterans Network assets such as banner templates, email banners, imagery, print-ready materials, and Teams backgrounds for consistent, on-brand event and communications support.		
Women’s Network	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_NGRGs_Womens-Network.zip	download	ZIP	Includes GE HealthCare Women’s Network assets such as banner templates, email banners, imagery, print-ready materials, and Teams backgrounds for consistent, on-brand event and communications support.		
Africa Day	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Observances_Africa-Day.zip	download	ZIP	Includes GE HealthCare Africa Day campaign assets such as templates, email banners, presentation covers, Teams backgrounds, and campaign calendar materials for consistent, on-brand communication.		
Asian American and Pacific Islander Heritage Month	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Observances_Asian-American-and-Pacific-Islander-Heritage-Month.zip	download	ZIP	Includes GE HealthCare Asian American and Pacific Islander Heritage Month campaign assets such as templates, email banners, presentation covers, Teams backgrounds, and campaign calendar materials for consistent, on-brand communication.		
Black History Month	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Observances_Black-History-Month.zip	download	ZIP	Includes GE HealthCare Black History Month campaign assets such as templates, email banners, presentation covers, Teams backgrounds, and campaign calendar materials for consistent, on-brand communication.		
Breast Cancer Awareness Month	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Observances_Breast-Cancer-Awareness-Month.zip	download	ZIP	Includes GE HealthCare Breast Cancer Awareness Month campaign assets such as templates, email banners, presentation covers, Teams backgrounds, ribbons, posters, social media materials, and campaign calendar materials for consistent, on-brand communication.		
International Day of Persons with Disabilities	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Observances_International-Day-of-Persons-with-Disabilities.zip	download	ZIP	Includes GE HealthCare International Day of Persons with Disabilities campaign assets such as templates, email banners, presentation covers, Teams backgrounds, and campaign calendar materials for consistent, on-brand communication.		
International Women’s Day	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Observances_International-Womens-Day.zip	download	ZIP	Includes GE HealthCare International Women’s Day campaign assets such as templates, email banners, presentation covers, Teams backgrounds, posters, and campaign calendar materials for consistent, on-brand communication.		
International Women in Engineering Day	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Observances_International-Women-in-Engineering-Day.zip	download	ZIP	Includes GE HealthCare International Women in Engineering Day campaign assets such as templates, email banners, presentation covers, Teams backgrounds, and campaign calendar materials for consistent, on-brand communication.		
Juneteenth	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Observances_Juneteenth.zip	download	ZIP	Includes GE HealthCare Juneteenth campaign assets such as templates, email banners, presentation covers, Teams backgrounds, and campaign calendar materials for consistent, on-brand communication.		
Latino and Hispanic Heritage Month	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Observances_National-Hispanic-Heritage-Month.zip	download	ZIP	Includes GE HealthCare Lunar New Year campaign assets such as templates, email banners, presentation covers, Teams backgrounds, and campaign calendar materials for consistent, on-brand communication.		
Lunar New Year	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Observances_Lunar-New-Year.zip	download	ZIP	Includes GE HealthCare Lunar New Year campaign assets such as templates, email banners, presentation covers, Teams backgrounds, and campaign calendar materials for consistent, on-brand communication.		
Movember	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Observances_Movember.zip	download	ZIP	Includes GE HealthCare Movember campaign assets such as templates, email banners, presentation covers, Teams backgrounds, and campaign calendar materials for consistent, on-brand communication.		
Pride Month	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Observances_Pride-Month.zip	download	ZIP	Includes GE HealthCare Pride Month campaign assets such as templates, email banners, presentation covers, Teams backgrounds, posters, and campaign calendar materials for consistent, on-brand communication		
Prostate Cancer Awareness Month	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Observances_Prostate-Cancer-Awareness-Month.zip	download	ZIP	Includes GE HealthCare Prostate Cancer Awareness Month campaign assets such as templates, email banners, presentation covers, Teams backgrounds, ribbons, and campaign calendar materials for consistent, on-brand communication.		
World Alzheimer’s Month	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Observances_World-Alzheimers-Month.zip	download	ZIP	Includes GE HealthCare World Alzheimer’s Month campaign assets such as templates, email banners, presentation covers, Teams backgrounds, ribbons, posters, and campaign calendar materials for consistent, on-brand communication.		
World Cancer Day	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Observances_World-Cancer-Day.zip	download	ZIP	Includes GE HealthCare World Cancer Day campaign assets such as templates, email banners, presentation covers, Teams backgrounds, ribbons, and campaign calendar materials for consistent, on-brand communication.		
World Heart Day	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Observances_World-Heart-Day.zip	download	ZIP	Includes GE HealthCare World Heart Day campaign assets such as templates, email banners, presentation covers, Teams backgrounds, ribbons, and campaign calendar materials for consistent, on-brand communication.		
World Lung Cancer Day	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Observances_World-Lung-Cancer-Day.zip	download	ZIP	Includes GE HealthCare World Lung Cancer Day campaign assets such as templates, email banners, presentation covers, Teams backgrounds, and campaign calendar materials for consistent, on-brand communication.		
Image library (external)	https://brandhub.gehealthcare.com/image-library	download	FILE	Provides access to the GE HealthCare image library, offering a wide selection of approved images for use across marketing and communications.		
Photoshoot operations	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Brand-Templates_Photoshoot-Operations.zip	download	ZIP	Includes GE HealthCare photoshoot operations templates such as consent form trackers, contact sheets, and summary sheets to support planning, organization, and documentation of photoshoots.		
Consent form	https://privacydatatrust.gehealthcare.com/agreement-templates/	download	FILE	Provides access to the GE HealthCare agreement and template library, offering centralized privacy and compliance templates, with SSO required for access.		
Logo intro and outro	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Logo-Animation.zip	download	ZIP	Includes GE HealthCare logo animation files for intro and outro use in video content, supporting consistent and professional brand presentation.		
Brand Guidelines (pdf)	/assets/documents/gehealthcare-brand-guidelines.pdf	guideline	PDF			
GE Santé Guidelines (pdf)	/assets/documents/gehealthcare-sant-c3-a9-guidelines.pdf	guideline	PDF			
PDx Product Packaging Guidelines (pdf)	/assets/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-pdx-product-packaging-guidelines.pdf	guideline	PDF			
Product Brand Guidelines (pdf)	/assets/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-product-brand-guidelines.pdf	guideline	PDF			
Accent Color Guidelines (pdf)	/assets/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-accent-color-guidelines.pdf	guideline	PDF			
Infographic Guidelines (pdf)	/assets/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-infographic-guidelines.pdf	guideline	PDF			
Motion Graphics Guidelines (ppt)	/assets/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-motion-graphic-guidelines.pptx	guideline	PPTX			
Photography Guidelines (pdf)	/assets/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-photography-guidelines.pdf	guideline	PDF			
Stationery Guidelines (pdf)	/assets/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-stationery-guidelines.pdf	guideline	PDF			
Video Guidelines (ppt)	/assets/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-video-guidelines.pptx	guideline	PPTX			
Editorial Style Guide (pdf)	/assets/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-editorial-style-guide.pdf	guideline	PDF			
Email Banner Guidelines (pdf)	/assets/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-email-banner-guidelines.pdf	guideline	PDF			
Exterior Signage Guidelines (pdf)	/assets/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-exterior-signage-guidelines.pdf	guideline	PDF			
Interior Site Branding Guidelines (pdf)	/assets/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/geheathcare-interior-site-branding-guidelines.pdf	guideline	PDF			
Marketo Guidelines (pdf)	/assets/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-marketo-guidelines.pdf	guideline	PDF			
Next Generation Resource Group (NGRG) Guidelines (pdf)	/assets/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/ge-healthcare-next-generation-resource-group-guidelines.pdf	guideline	PDF			
Observances Guidelines (pdf)	/assets/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-observance-guidelines.pdf	guideline	PDF			
Trade Show and Events Guidelines (pdf)	/assets/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-trade-show-and-events-guidelines.pdf	guideline	PDF			
Website Guidelines (pdf)	/assets/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-website-guidelines.pdf	guideline	PDF			
Channel Partners Guidelines (pdf)	/assets/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-channel-partner-guidelines.pdf	guideline	PDF			
Co-branding Guidelines (pdf)	/assets/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-co-branding-guidelines.pdf	guideline	PDF			
Branded Merchandise Guidelines (pdf)	/assets/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-merchandise-guidelines.pdf	guideline	PDF			
Uniform Guidelines (pdf)	/assets/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-uniform-guidelines.pdf	guideline	PDF			
Parent Brand Guidelines	https://s7d9.scene7.com/is/content/gehealthcare/GEHealthCare_Brand-Guidelines_Training_Video	training	VIDEO	Parent Brand Guidelines training covers GE HealthCare’s brand strategy, visual identity and verbal identity to help teams apply GE HealthCare’s brand consistently.	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-brand-guidelines-training-presentation.pdf	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-brand-guidelines.pdf
Product Brand Guidelines	https://s7d9.scene7.com/is/content/gehealthcare/GEHealthCare_Product-Brand-Guidelines_Training_Video	training	VIDEO	Product Brand Guidelines training covers the principles and standards for creating and managing GE HealthCare product brands consistently.	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-product-brand-guidelines-training-presentation.pptx	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-product-brand-guidelines.pdf
PDx Product Brand Guidelines	https://s7d9.scene7.com/is/content/gehealthcare/GEHealthCare_PDx-Product-Brand_Guidelines_Training_Video	training	VIDEO	PDx Product Brand Guidelines training covers the standards for Pharmaceutical Diagnostics branding to help teams apply PDx product brands consistently.	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-pdx-product-guidelines-training-presentation.pdf	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-pdx-product-packaging-guidelines.pdf
Photography Guidelines	https://s7d9.scene7.com/is/content/gehealthcare/GEHealthCare_Photography-Guidelines_Training_Video	training	VIDEO	Photography Guidelines training covers image style, principles and best practices to help teams create authentic, on-brand photography.	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-photography-guidelines-training-presentation.pdf	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-photography-guidelines.pdf
Video Guidelines	https://s7d9.scene7.com/is/content/gehealthcare/GEHealthCare_Trade-Show-and-Events-Guidelines_Training_Video	training	VIDEO	Video Guidelines training covers creative direction, production standards and storytelling best practices to help teams create consistent branded video content.	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-video-guidelines-training-presentation.pptx	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-video-guidelines.pptx
Motion Graphics Guidelines	https://s7d9.scene7.com/is/content/gehealthcare/GEHealthCare_Motion-Graphics-Guidelines_Training_Video	training	VIDEO	Motion Graphics Guidelines training covers animation principles, transitions and graphic treatments to help teams create consistent motion experiences.	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-motion-graphic-guidelines-training-presentation.pptx	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-motion-graphic-guidelines.pptx
Website Guidelines	https://s7d9.scene7.com/is/content/gehealthcare/GEHealthCare_Video-Guidelines_Training_Video	training	VIDEO	Website Guidelines training covers digital design principles and website standards to help teams create consistent online experiences.	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-website-guidelines-training-presentation.pptx	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-website-guidelines.pdf
Marketo Guidelines	https://s7d9.scene7.com/is/content/gehealthcare/GEHealthCare_Marketo-Guidelines_Training_Video	training	VIDEO	Marketo Guidelines training covers email and marketing automation standards to help teams create consistent branded marketing communications.	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-marketo-guidelines-training-presentation.pdf	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-marketo-guidelines.pdf
Trade Show and Events Guidelines	https://s7d9.scene7.com/is/content/gehealthcare/GEHealthCare_Trade-Show-and-Events-Guidelines_Training_Video	training	VIDEO	Trade Show and Events Guidelines training covers event branding standards and best practices to help teams create consistent in-person experiences.	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-trade-show-and-events-guidelines-presentation.pdf	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-trade-show-and-events-guidelines.pdf
Observances Guidelines	https://s7d9.scene7.com/is/content/gehealthcare/GEHealthCare_Observance-Guidelines_Training_Video	training	VIDEO	Observances Guidelines training covers planning principles and brand standards to help teams create thoughtful, consistent observance campaigns.	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-observance-guidelines-training-presentation.pdf	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-observance-guidelines.pdf
Packaging Guidelines	https://s7d9.scene7.com/is/content/gehealthcare/GEHealthCare_Packaging-Guidelines_Training_Video	training	VIDEO	Packaging Guidelines training covers packaging standards and design principles to help teams apply GE HealthCare’s brand consistently across packaging materials.	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-packaging-guidelines-training-presentation.pdf	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-packaging-guidelines.pdf
Site Branding Guidelines	https://s7d9.scene7.com/is/content/gehealthcare/GEHealthCare_Site-Branding-Guidelines_Training_Video	training	VIDEO	Site Branding Guidelines training covers environmental branding standards to help teams create consistent branded spaces and facilities.	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-site-branding-guidelines-training-presentation.pdf	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/geheathcare-interior-site-branding-guidelines.pdf
Co‑Branding Guidelines	https://s7d9.scene7.com/is/content/gehealthcare/GEHealthCare_Co-branding-Guidelines_Training_Video	training	VIDEO	Co-Branding Guidelines training covers partnership branding standards to help teams represent GE HealthCare’s brand consistently alongside other organizations.	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-co-branding-guidelines-training-presentation.pdf	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-co-branding-guidelines.pdf
Channel Partner Guidelines	https://s7d9.scene7.com/is/content/gehealthcare/GEHealthCare_Channel-Partner-Guidelines_Training_Video	training	VIDEO	Channel Partner Guidelines training covers partner branding standards to help teams represent GE HealthCare’s brand consistently through partner channels.	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-channel-partner-guidelines-presentation.pdf	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-channel-partner-guidelines.pdf
Stationery Guidelines	https://s7d9.scene7.com/is/content/gehealthcare/GEHealthCare_Stationery-Guidelines_Training_Video	training	VIDEO	Stationery Guidelines training covers business communication standards to help teams create consistent, on-brand stationery and correspondence.	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-stationery-guidelines-training-presentation.pdf	/assets/assets/brand-assets/brand-hub-assets/guidelines/documents/gehealthcare-stationery-guidelines.pdf
